100000; 803093
200000; 1603093
300000; 2403093
400000; 3203093
500000; 4003093
600000; 4803093
700000; 5603093
800000; 6403093
900000; 7203093
1000000; 8003093
100000; 803093
200000; 1603093
300000; 2403093
400000; 3203093
500000; 4003093
600000; 4803093
700000; 5603093
800000; 6403093
900000; 7203093
1000000; 8003093
100000; 803093
200000; 1603093
300000; 2403093
400000; 3203093
500000; 4003093
600000; 4803093
700000; 5603093
800000; 6403093
900000; 7203093
1000000; 8003093
100000; 803093
200000; 1603093
300000; 2403093
400000; 3203093
500000; 4003093
600000; 4803093
700000; 5603093
800000; 6403093
900000; 7203093
1000000; 8003093
100000; 803093
200000; 1603093
300000; 2403093
400000; 3203093
500000; 4003093
600000; 4803093
700000; 5603093
800000; 6403093
900000; 7203093
1000000; 8003093
100000; 803093
200000; 1603093
300000; 2403093
400000; 3203093
500000; 4003093
600000; 4803093
700000; 5603093
800000; 6403093
900000; 7203093
1000000; 8003093
