10000; 99919425
20000; 399638215
30000; 899160635
40000; 1598479743
50000; 2497598307
60000; 3596515055
70000; 4895238429
80000; 6393754811
90000; 8092077743
100000; 9990199101
10000; 99918763
20000; 399640163
30000; 899159895
40000; 1598478707
50000; 2497599105
60000; 3596521471
70000; 4895238575
80000; 6393761685
90000; 8092070369
100000; 9990208783
10000; 99919563
20000; 399640665
30000; 899157775
40000; 1598478195
50000; 2497596375
60000; 3596518133
70000; 4895237411
80000; 6393765625
90000; 8092074107
100000; 9990191237
