100000; 0.016
200000; 0.032
300000; 0.046
400000; 0.063
500000; 0.079
600000; 0.093
700000; 0.109
800000; 0.110
900000; 0.140
1000000; 0.140
100000; 0.016
200000; 0.015
300000; 0.031
400000; 0.047
500000; 0.062
600000; 0.093
700000; 0.094
800000; 0.125
900000; 0.125
1000000; 0.156
100000; 0.016
200000; 0.031
300000; 0.047
400000; 0.062
500000; 0.080
600000; 0.094
700000; 0.109
800000; 0.109
900000; 0.124
1000000; 0.156
100000; 0.013
200000; 0.029
300000; 0.043
400000; 0.057
500000; 0.070
600000; 0.091
700000; 0.105
800000; 0.119
900000; 0.134
1000000; 0.148
100000; 0.013
200000; 0.026
300000; 0.042
400000; 0.056
500000; 0.070
600000; 0.089
700000; 0.105
800000; 0.120
900000; 0.134
1000000; 0.149
100000; 0.013
200000; 0.026
300000; 0.042
400000; 0.057
500000; 0.070
600000; 0.090
700000; 0.104
800000; 0.119
900000; 0.134
1000000; 0.149
